Name,MP,GS,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,Tech Fouls,teamId,opponentId,gameId,#,P
SMU,200:00,,33,70,3,20,8,12,77,20,26,46,16,10,6,3,17,1,0,591903,591839,5733228,,
N.C. A&T,200:00,,22,59,7,21,13,16,64,13,19,32,11,10,3,3,14,0,0,591839,591903,5733228,,
Arizona,200:00,,25,63,4,18,19,22,73,9,33,42,12,19,11,4,24,0,0,591676,591924,5729202,,
UT Arlington,200:00,,17,52,3,12,17,26,54,7,26,33,5,21,8,1,25,1,0,591924,591676,5729202,,
Grand Canyon,200:00,,30,63,14,26,19,27,93,4,28,32,21,16,14,0,16,0,0,591970,591699,5723131,,
CSU Bakersfield,200:00,,21,54,0,17,10,18,52,7,22,29,9,25,9,4,21,0,0,591699,591970,5723131,,
Alabama,200:00,,45,86,14,31,11,18,115,22,27,49,24,17,23,5,14,0,0,591669,591836,5730196,,
New Orleans,200:00,,21,52,5,14,6,8,53,4,23,27,8,35,12,4,16,0,0,591836,591669,5730196,,
SFA,200:00,,29,60,18,39,10,10,86,5,32,37,18,29,16,5,10,0,0,591911,591922,5728383,,
Texas Southern,200:00,,19,73,3,17,4,8,45,14,21,35,10,25,17,1,15,0,1,591922,591911,5728383,,
Oklahoma St.,200:00,,32,56,12,23,20,25,96,10,22,32,16,11,8,2,18,0,0,591857,591973,5722718,,
Ark.-Pine Bluff,200:00,,14,46,1,10,14,17,43,10,17,27,1,22,3,4,24,1,0,591973,591857,5722718,,
Oklahoma,200:00,,29,61,3,22,15,23,76,15,39,54,15,18,4,4,14,0,0,591858,591905,5735321,,
Southern U.,200:00,,16,62,5,18,7,10,44,4,17,21,9,10,12,4,24,0,0,591905,591858,5735321,,
South Carolina St.,200:00,,22,41,3,10,5,7,52,5,14,19,4,12,4,0,12,0,1,591896,591751,5809690,,
Furman,200:00,,23,42,5,11,5,8,56,5,13,18,9,17,4,1,13,0,0,591751,591896,5809690,,
Buffalo,200:00,,23,65,7,20,27,38,80,13,32,45,16,8,7,0,24,1,0,591696,591929,5722058,,
Troy,200:00,,29,69,10,35,10,21,78,15,36,51,11,18,3,8,33,2,0,591929,591696,5722058,,
Northern Ky.,200:00,,20,51,9,29,9,13,58,6,27,33,14,19,2,0,17,0,0,591851,591994,5729961,,
Middle Tenn.,200:00,,27,64,9,30,16,20,79,13,29,42,11,8,9,4,16,0,0,591994,591851,5729961,,
Colgate,200:00,,24,57,9,23,17,20,74,8,22,30,17,11,8,2,20,0,0,591720,591794,5728355,,
UMass Lowell,200:00,,23,51,3,8,13,17,62,8,27,35,14,19,6,1,20,1,0,591794,591720,5728355,,
South Fla.,200:00,,34,64,9,23,10,17,87,17,27,44,22,18,8,4,19,0,0,591898,591685,5728843,,
Bethune-Cookman,200:00,,15,53,1,5,13,21,44,12,17,29,6,20,11,0,18,0,0,591685,591898,5728843,,
Lehigh,200:00,,32,56,9,25,10,16,83,6,21,27,17,15,14,4,14,0,0,591787,591789,5725963,,
LIU,196:42,,25,55,4,13,5,10,59,8,22,30,6,23,6,0,18,1,0,591789,591787,5725963,,
Akron,200:00,,20,53,8,20,33,41,81,14,33,47,14,18,4,4,17,2,0,591666,591756,5731029,,
Georgia St.,200:00,,26,72,11,33,10,12,73,13,23,36,11,13,9,9,33,2,0,591756,591666,5731029,,
Rider,200:00,,17,53,3,14,15,18,52,6,27,33,9,23,8,2,15,0,0,591876,591936,5733573,,
Navy,200:00,,28,70,8,24,10,15,74,16,31,47,18,18,10,3,16,0,0,591936,591876,5733573,,
Norfolk St.,200:00,,28,68,8,25,6,12,70,16,35,51,13,9,8,3,12,0,1,591996,591957,5731855,,
William & Mary,200:00,,20,59,4,20,5,12,49,9,26,35,9,13,3,4,10,0,0,591957,591996,5731855,,
Holy Cross,200:00,,26,46,6,13,16,25,74,3,25,28,15,16,5,0,21,1,0,591988,591873,5734289,,
Quinnipiac,200:00,,27,69,7,20,17,25,78,14,17,31,10,10,10,0,20,1,0,591873,591988,5734289,,
Bryant,200:00,,26,56,5,20,8,14,65,14,33,47,17,27,9,6,17,0,0,591694,591661,5733543,,
Merrimack,200:00,,18,66,4,20,10,16,50,18,20,38,9,18,12,2,20,2,0,591661,591694,5733543,,
Elon,200:00,,25,55,2,7,14,25,66,8,18,26,10,11,10,3,19,0,0,591968,591658,5733744,,
High Point,200:00,,21,47,10,24,13,17,65,9,26,35,11,24,6,3,22,1,0,591658,591968,5733744,,
Vermont,200:00,,26,51,6,18,4,5,62,10,15,25,16,19,10,5,20,0,0,591941,591816,5733393,,
Missouri,200:00,,12,30,2,5,20,25,46,7,15,22,4,26,8,2,15,0,0,591816,591941,5733393,,
South Dakota,225:00,,28,72,8,26,19,24,83,11,30,41,13,16,4,1,23,1,0,591897,591883,5735542,,
Saint Louis,225:00,,30,75,2,18,23,26,85,13,35,48,13,15,9,6,24,1,0,591883,591897,5735542,,
Ball St.,200:00,,23,53,3,17,11,20,60,7,33,40,12,23,10,8,12,0,1,591682,591859,5810364,,
Old Dominion,200:00,,16,64,2,16,12,16,46,17,28,45,7,24,15,1,25,2,1,591859,591682,5810364,,
Eastern Mich.,200:00,,25,54,7,22,14,20,71,12,25,37,17,19,5,4,21,1,0,591742,591908,5730286,,
Texas St.,200:00,,27,68,4,17,17,24,75,19,20,39,10,12,13,2,20,0,0,591908,591742,5730286,,
Florida A&M,200:00,,23,62,8,14,12,24,66,18,21,39,10,22,11,2,21,0,0,591745,591767,5737810,,
Howard,200:00,,30,57,6,16,12,19,78,9,24,33,9,22,12,4,19,0,0,591767,591745,5737810,,
Central Mich.,200:00,,24,62,3,20,11,21,62,15,30,45,12,26,6,0,19,0,0,591714,591719,5732223,,
Coastal Carolina,200:00,,24,61,9,25,8,16,65,8,25,33,16,21,9,6,22,0,0,591719,591714,5732223,,
Washington St.,225:00,,27,71,8,28,21,28,83,8,29,37,11,8,11,8,20,0,0,591948,591986,5731471,,
Eastern Wash.,225:00,,32,71,10,16,8,19,82,15,37,52,16,19,3,1,21,0,0,591986,591948,5731471,,
North Texas,200:00,,27,55,6,15,24,36,84,17,19,36,12,15,11,0,17,0,0,591844,591672,5722772,,
Alcorn,200:00,,28,57,2,12,7,11,65,12,18,30,12,19,9,4,23,1,0,591672,591844,5722772,,
Auburn,200:00,,27,67,5,10,6,10,65,16,31,47,15,18,16,5,18,0,0,591680,591901,5722884,,
Southern Ill.,200:00,,10,50,3,11,8,13,31,11,24,35,5,29,8,3,16,0,0,591901,591680,5722884,,
Texas Tech,200:00,,25,57,8,29,20,28,78,17,22,39,13,20,14,5,31,0,0,591923,591654,5735005,,
UIW,200:00,,10,38,1,3,27,36,48,10,18,28,3,26,10,1,24,1,0,591654,591923,5735005,,
UT Martin,200:00,,23,56,6,20,11,18,63,9,18,27,10,18,13,2,20,0,0,591919,591664,5738031,,
North Ala.,200:00,,23,49,8,18,12,18,66,11,26,37,14,29,6,3,18,0,0,591664,591919,5738031,,
Ohio,200:00,,24,56,12,30,10,18,70,11,24,35,13,21,6,4,15,1,0,591856,591755,5723654,,
Ga. Southern,200:00,,34,80,6,17,8,14,82,24,24,48,14,10,11,5,20,0,0,591755,591856,5723654,,
Gardner-Webb,200:00,,27,63,6,24,7,11,67,13,25,38,15,19,6,3,15,0,0,591969,592172,5728433,,
West Ga.,200:00,,25,62,4,24,9,17,63,11,26,37,12,17,10,2,12,0,0,592172,591969,5728433,,
Virginia,200:00,,42,80,10,28,10,14,104,17,36,53,26,14,9,10,23,0,0,591945,591673,5723364,,
American,200:00,,24,69,6,23,14,20,68,12,24,36,15,17,3,1,17,0,0,591673,591945,5723364,,
Bowling Green,200:00,,23,51,7,20,18,30,71,14,21,35,15,24,8,5,27,2,0,591690,591904,5722831,,
Southern Miss.,200:00,,25,62,1,16,16,28,67,23,20,43,12,20,15,3,24,2,0,591904,591690,5722831,,
UMBC,200:00,,10,43,5,19,7,14,32,5,13,18,6,25,7,2,21,0,0,591801,591802,5728520,,
Maryland,200:00,,29,57,2,13,14,19,74,17,31,48,8,22,9,2,21,0,0,591802,591801,5728520,,
Toledo,200:00,,25,61,1,14,20,31,71,19,24,43,10,10,8,6,19,0,0,591927,591993,5731009,,
Marshall,200:00,,24,57,8,22,12,16,68,12,22,34,10,17,6,0,26,3,0,591993,591927,5731009,,
Indiana St.,200:00,,22,53,4,13,11,15,59,10,23,33,9,26,11,2,10,1,0,591773,591954,5725952,,
Western Ky.,200:00,,30,62,8,20,3,4,71,9,22,31,19,22,20,4,20,0,0,591954,591773,5725952,,
Rutgers,200:00,,31,68,5,23,18,25,85,18,32,50,13,14,8,4,20,0,0,591878,591798,5730094,,
Manhattan,200:00,,27,64,11,28,14,19,79,9,22,31,20,12,9,3,24,1,0,591798,591878,5730094,,
Kent St.,200:00,,17,54,0,19,22,24,56,10,27,37,5,15,2,7,14,0,0,591991,591780,5723846,,
James Madison,200:00,,26,71,3,18,12,18,67,19,26,45,9,12,9,3,22,0,0,591780,591991,5723846,,
Indiana,200:00,,30,60,5,20,17,20,82,9,31,40,20,18,11,2,12,0,0,591774,591693,5731326,,
Brown,200:00,,23,60,11,36,3,9,60,7,19,26,10,18,4,1,22,1,0,591693,591774,5731326,,
Columbia,200:00,,32,72,10,27,13,20,87,24,28,52,18,13,16,2,26,0,0,591723,591913,5722748,,
Stony Brook,200:00,,16,47,0,8,15,23,47,8,20,28,4,22,6,5,16,0,0,591913,591723,5722748,,
Western Mich.,200:00,,23,44,3,11,12,17,61,6,31,37,16,20,6,2,13,0,0,591955,591677,5722991,,
Arkansas St.,200:00,,20,63,9,33,3,6,52,12,19,31,12,13,8,1,20,0,0,591677,591955,5722991,,
Mercer,200:00,,30,51,1,3,14,19,75,7,28,35,17,17,9,2,12,0,0,591807,591824,5731481,,
UNC Asheville,200:00,,19,49,3,16,11,17,52,3,16,19,6,17,12,1,15,0,0,591824,591807,5731481,,
Florida,200:00,,28,66,9,24,17,24,82,16,31,47,19,8,8,11,15,0,0,591749,591746,5736553,,
Fla. Atlantic,200:00,,20,63,6,20,8,16,54,16,25,41,6,15,5,2,20,0,0,591746,591749,5736553,,
Oregon,200:00,,33,73,13,31,14,22,93,9,33,42,23,5,9,1,15,0,0,591862,591981,5731583,,
California Baptist,200:00,,24,57,8,31,7,12,63,3,34,37,18,18,2,1,18,0,0,591981,591862,5731583,,
South Carolina,200:00,,25,75,5,26,13,21,68,22,30,52,12,10,7,8,14,0,0,592003,591811,5732292,,
Michigan,200:00,,22,71,8,26,10,15,62,20,32,52,13,15,4,4,21,0,0,591811,592003,5732292,,
Wyoming,200:00,,19,49,3,15,9,15,50,6,28,34,11,19,6,6,18,0,0,591962,591722,5731718,,
Colorado,200:00,,21,62,1,10,13,24,56,18,27,45,10,12,6,2,19,1,0,591722,591962,5731718,,
Colorado St.,200:00,,17,58,8,27,10,14,52,6,29,35,13,9,5,3,13,0,0,591721,591890,5732089,,
San Francisco,200:00,,16,59,5,24,10,15,47,16,36,52,10,15,3,4,24,1,0,591890,591721,5732089,,
Arkansas,200:00,,23,60,9,27,12,14,67,8,23,31,10,14,2,4,3,0,0,591678,591987,5756747,,
Fairfield,200:00,,33,68,13,30,2,2,81,11,29,40,21,12,8,4,17,1,0,591987,591678,5756747,,
Hofstra,200:00,,23,60,4,16,8,17,58,16,26,42,14,20,7,3,20,0,0,591764,592002,5735640,,
Sacred Heart,200:00,,24,59,3,19,12,16,63,9,26,35,11,16,11,5,17,0,0,592002,591764,5735640,,
Harvard,200:00,,26,73,8,26,11,14,71,15,20,35,15,16,19,8,13,0,0,591762,591804,5723130,,
Massachusetts,200:00,,23,52,4,10,8,9,58,10,33,43,13,34,9,4,17,0,0,591804,591762,5723130,,
Texas A&M,200:00,,18,66,3,25,17,23,56,20,29,49,12,20,6,8,15,0,0,591920,591979,5734517,,
A&M-Corpus Christi,200:00,,27,66,4,13,4,10,62,11,30,41,14,15,13,4,21,0,0,591979,591920,5734517,,
Temple,200:00,,27,66,10,29,8,13,72,11,15,26,16,16,12,5,21,0,0,591915,592001,5733547,,
Richmond,200:00,,28,49,8,15,15,19,79,8,31,39,17,25,8,2,15,0,0,592001,591915,5733547,,
LSU,200:00,,38,65,5,11,14,20,95,11,38,49,13,17,9,5,13,0,0,591791,591741,5736262,,
Eastern Ky.,200:00,,18,69,6,31,2,5,44,12,19,31,10,21,10,0,21,0,0,591741,591791,5736262,,
Rice,200:00,,26,64,4,15,7,9,63,12,29,41,13,13,4,4,18,0,0,592000,592004,5730145,,
South Dakota St.,200:00,,27,61,5,16,6,10,65,8,28,36,14,11,5,6,13,0,0,592004,592000,5730145,,
Minnesota,200:00,,34,72,10,26,11,13,89,18,22,40,20,9,19,2,10,0,0,591812,591712,5728661,,
Central Conn. St.,200:00,,20,51,7,19,1,4,48,11,22,33,11,26,5,0,15,0,0,591712,591812,5728661,,
Utah St.,200:00,,30,64,10,30,7,17,77,9,17,26,12,19,16,1,20,0,0,591937,591652,5723562,,
Kansas City,200:00,,31,61,4,11,14,15,80,13,30,43,12,23,9,2,22,1,0,591652,591937,5723562,,
Arizona St.,200:00,,27,60,5,15,15,19,74,9,34,43,14,17,7,5,27,0,0,591675,591778,5723354,,
Jacksonville St.,200:00,,21,68,7,28,17,29,66,17,26,43,10,11,7,6,18,0,0,591778,591675,5723354,,
UC Irvine,200:00,,16,51,5,12,12,18,49,11,19,30,11,19,10,4,18,0,0,591982,591834,5733139,,
New Mexico St.,200:00,,20,49,4,13,13,14,57,10,25,35,8,19,7,3,20,0,0,591834,591982,5733139,,
Santa Clara,200:00,,27,50,7,16,12,14,73,8,20,28,20,18,6,6,15,1,0,591892,591709,5734892,,
UC Riverside,200:00,,24,55,5,15,7,9,60,11,17,28,20,18,7,2,21,1,0,591709,591892,5734892,,
Washington,200:00,,37,70,10,27,11,13,95,15,32,47,18,20,10,3,12,0,0,591949,591972,5735169,,
Seattle U,200:00,,18,57,4,23,13,16,53,5,16,21,5,17,9,2,15,0,0,591972,591949,5735169,,
Pepperdine,200:00,,22,47,4,12,11,14,59,6,32,38,14,19,4,4,19,0,0,591867,591701,5728870,,
Cal St. Fullerton,200:00,,23,63,3,12,8,18,57,14,20,34,8,12,10,2,23,0,0,591701,591867,5728870,,
Stanford,200:00,,37,67,18,34,15,20,107,9,36,45,25,6,9,4,15,0,0,591910,591651,5723840,,
Le Moyne,200:00,,15,56,8,24,5,9,43,8,24,32,7,18,2,1,16,0,0,591651,591910,5723840,,
Xavier,200:00,,13,52,2,20,8,10,36,6,22,28,8,21,11,4,24,0,0,591963,591891,5737321,,
San Jose St.,200:00,,19,49,6,19,11,18,55,9,33,42,12,26,11,4,17,0,0,591891,591963,5737321,,
Pittsburgh,200:00,,28,64,2,13,20,30,78,17,26,43,11,19,14,5,23,0,0,591868,591711,5723996,,
Canisius,200:00,,13,39,1,13,9,14,36,3,24,27,8,35,9,4,27,1,0,591711,591868,5723996,,
Ohio St.,200:00,,39,72,10,21,16,24,104,9,30,39,19,10,16,10,17,0,0,591855,591718,5736250,,
Cleveland St.,200:00,,23,62,9,25,14,20,69,12,24,36,6,24,2,7,18,0,0,591718,591855,5736250,,
IU Indy,200:00,,39,68,13,28,10,13,101,5,26,31,20,11,16,3,21,0,0,591974,591743,5723906,,
Evansville,200:00,,25,61,7,14,19,28,76,13,27,40,11,23,4,2,15,0,0,591743,591974,5723906,,
Michigan St.,200:00,,35,70,11,24,26,37,107,17,28,45,29,11,22,6,14,0,0,591810,591854,5736306,,
Oakland,200:00,,16,52,0,17,10,18,42,11,22,33,7,33,7,5,24,0,0,591854,591810,5736306,,
Tennessee,200:00,,37,77,10,34,17,22,101,21,20,41,20,20,27,6,25,0,0,591918,591887,5735268,,
Samford,200:00,,20,56,3,20,10,21,53,17,21,38,10,37,12,2,21,0,0,591887,591918,5735268,,
Davidson,200:00,,22,48,4,13,9,16,57,6,31,37,9,14,5,9,23,0,0,591728,591980,5736365,,
FGCU,200:00,,20,57,2,13,14,21,56,10,23,33,7,12,5,0,19,2,0,591980,591728,5736365,,
Syracuse,200:00,,38,63,7,15,25,35,108,16,29,45,27,30,16,7,20,0,0,591914,591837,5736674,,
Niagara,200:00,,33,75,6,19,12,17,84,15,13,28,16,27,19,0,30,2,1,591837,591914,5736674,,
UCF,200:00,,29,67,2,10,16,26,76,26,27,53,7,17,13,3,13,0,0,591713,591776,5736331,,
Iona,200:00,,17,54,5,28,5,10,44,13,16,29,10,25,5,5,28,2,0,591776,591713,5736331,,
NC State,200:00,,32,67,5,20,11,15,80,21,28,49,8,14,8,4,7,0,0,591841,591738,5728707,,
ETSU,200:00,,22,64,9,33,2,2,55,14,16,30,7,17,3,1,20,0,0,591738,591841,5728707,,
West Virginia,200:00,,26,60,12,33,21,29,85,14,24,38,16,16,17,2,12,0,0,591951,591928,5728238,,
Towson,200:00,,14,43,5,15,8,12,41,6,23,29,12,32,7,1,22,2,0,591928,591951,5728238,,
Dayton,200:00,,27,63,4,22,17,27,75,11,33,44,14,18,9,2,13,0,0,591729,591899,5729869,,
Southeast Mo. St.,200:00,,29,67,5,16,7,8,70,6,28,34,15,17,9,2,24,2,0,591899,591729,5729869,,
Wisconsin,200:00,,36,79,10,27,13,21,95,16,36,52,14,7,11,4,21,1,0,591959,591961,5733347,,
Wright St.,200:00,,22,59,6,24,18,29,68,7,31,38,9,13,2,2,17,0,0,591961,591959,5733347,,
TCU,200:00,,31,67,3,21,13,20,78,6,24,30,24,5,18,9,13,0,0,591921,591765,5735152,,
Houston Christian,200:00,,15,50,5,17,6,9,41,12,32,44,6,36,4,1,18,0,0,591765,591921,5735152,,
UIC,200:00,,17,60,5,20,15,20,54,14,22,36,10,11,4,3,20,0,0,591772,591716,5733325,,
Cincinnati,200:00,,23,50,1,6,19,28,66,7,32,39,10,11,8,1,22,0,0,591716,591772,5733325,,
Houston,200:00,,27,51,8,15,6,10,68,8,21,29,18,15,6,2,13,0,1,591766,591864,5722100,,
UTRGV,200:00,,25,51,12,27,8,12,70,6,18,24,21,15,5,0,16,0,0,591864,591766,5722100,,
Gonzaga,200:00,,30,61,11,21,11,16,82,14,23,37,19,15,7,0,18,0,0,591759,591819,5734142,,
Montana,200:00,,26,52,5,17,12,14,69,4,17,21,19,14,10,2,18,0,1,591819,591759,5734142,,
Butler,200:00,,30,64,6,25,21,28,87,20,20,40,17,14,11,9,10,0,0,591697,591715,5734162,,
Chicago St.,200:00,,18,52,4,10,5,7,45,13,16,29,9,29,6,1,27,2,0,591715,591697,5734162,,
DePaul,200:00,,27,68,4,21,16,23,74,20,27,47,12,15,11,3,22,1,0,591730,592223,5729697,,
Mercyhurst,200:00,,14,40,8,15,17,20,53,0,25,25,10,24,7,4,18,0,0,592223,591730,5729697,,
VCU,200:00,,23,50,9,17,20,24,75,7,20,27,16,17,11,5,15,1,0,591943,591803,5756684,,
UMES,200:00,,22,55,4,11,12,16,60,12,23,35,13,23,9,3,22,1,0,591803,591943,5756684,,
Siena,200:00,,22,60,3,15,9,15,56,12,23,35,12,16,9,6,24,0,0,591894,591935,5763047,,
Army West Point,200:00,,21,51,5,10,19,23,66,8,27,35,11,16,3,3,16,0,0,591935,591894,5763047,,
East Carolina,200:00,,28,71,4,18,21,23,81,21,26,47,14,15,14,1,17,0,1,591737,591683,5730460,,
Charleston So.,200:00,,20,57,7,17,9,15,56,13,22,35,14,26,10,1,21,0,0,591683,591737,5730460,,
Purdue,200:00,,34,70,5,19,14,21,87,15,26,41,18,16,7,6,23,0,0,591872,591775,5723670,,
Purdue Fort Wayne,200:00,,26,59,6,19,19,27,77,9,23,32,11,15,7,4,18,1,0,591775,591872,5723670,,
Lipscomb,200:00,,23,66,14,39,9,12,69,15,23,38,15,14,7,3,19,0,0,591659,591814,5734780,,
Mississippi Val.,200:00,,22,56,2,14,10,17,56,13,30,43,3,19,11,4,23,0,0,591814,591659,5734780,,
Iowa,200:00,,37,71,9,29,8,11,91,14,21,35,22,14,13,7,14,0,0,591989,591849,5733311,,
